Question strong,Question weak,Question no,Pair 1,Pair 2,Pair 3,Pair 4,Pair 5,Pair 6,Pair 7,Pair 8,Pair 9,Pair 10
1,,,1,1,1,2,2,1,2,1,1,2
1,,,1,1,2,2,2,1,1,2,2,2
1,,,2,2,2,1,2,1,2,2,1,2
,,1,1,1,1,2,2,2,1,2,1,1
1,,,1,1,1,1,1,2,1,1,2,2
,,2,1,2,1,1,1,2,1,2,1,2
1,,,2,2,2,1,2,1,1,2,2,2
1,,,1,2,2,1,1,1,2,1,2,2
5,,,1,1,1,2,2,1,2,2,2,2
,,1,1,1,2,1,1,2,1,1,2,1
,,1,1,1,2,2,2,2,1,2,2,1
,,1,1,2,1,1,1,1,2,2,1,2
,2,,1,1,2,2,1,1,2,1,2,2
,4,,1,1,2,2,2,1,1,2,2,2
,,2,1,2,2,1,2,1,1,1,2,1
,,1,1,1,2,2,1,1,2,2,2,1
,2,,1,1,2,2,1,1,1,2,2,1
,3,,2,1,2,2,1,1,2,2,1,2
,3,,1,1,2,1,1,2,2,2,2,2
,2,,1,1,2,1,2,1,1,1,1,1
,2,,1,2,1,2,1,1,1,2,1,1
